age,income,loan_amount,credit_score,employment_years,existing_loans,debt_to_income,default
59,80795.13,20385.06,703,16,1,0.293,0
49,49772.0,1000.0,710,21,0,0.059,0
35,57410.0,17017.34,620,12,0,0.309,0
63,34426.51,5511.45,662,11,0,0.224,0
28,29439.55,19867.54,697,9,3,0.644,1
41,22125.19,20714.55,688,0,0,0.917,1
59,37296.73,13624.42,654,29,1,0.236,0
39,86051.24,13642.65,779,7,3,0.154,0
43,23945.46,8549.1,702,20,1,0.386,1
31,48929.28,4235.33,609,21,4,0.101,0
31,29137.09,28584.74,610,17,0,0.95,1
44,42980.52,8079.43,600,1,3,0.23,1
56,58393.88,27542.37,707,15,3,0.468,1
60,40997.68,8124.0,594,11,0,0.236,0
44,76793.3,19201.52,612,8,2,0.274,0
23,85679.56,5897.54,745,2,2,0.14,0
42,15000.0,19187.16,667,21,1,1.296,1
22,41340.15,12395.3,758,25,0,0.33,0
44,56182.84,12499.87,722,20,0,0.219,0
64,77522.34,19880.19,544,29,4,0.231,0
50,45915.11,11246.87,641,27,2,0.269,0
58,54601.29,3574.81,739,3,2,0.141,0
22,31865.12,21090.44,540,25,0,0.631,1
41,24344.08,5832.8,688,1,1,0.227,0
53,83907.69,19132.14,646,7,0,0.229,0
32,18518.6,22783.97,492,9,1,1.265,1
42,101572.38,11996.05,661,15,2,0.135,0
64,69503.03,24458.82,575,22,4,0.398,0
45,68599.46,18854.27,545,10,3,0.374,0
47,66509.37,9433.11,651,17,2,0.11,0
62,49946.29,26211.43,476,21,1,0.555,0
48,62841.69,5866.63,589,13,0,0.109,0
36,51222.07,11986.4,850,7,2,0.235,0
35,66061.47,13349.48,709,22,4,0.232,0
64,54326.27,19841.79,571,14,1,0.352,0
23,35993.04,23923.47,776,16,0,0.681,1
57,37588.55,23422.33,561,20,3,0.558,1
27,35314.55,16789.99,600,17,1,0.449,1
41,74418.01,12757.85,547,5,0,0.224,0
29,42651.07,1000.0,673,22,3,0.074,0
59,16757.94,4486.83,773,29,0,0.281,0
38,62936.77,29133.24,560,13,3,0.44,1
24,85290.35,1000.0,465,22,3,0.053,0
45,70461.66,8724.07,748,2,3,0.186,0
34,42933.53,24156.85,790,6,0,0.542,0
29,23263.77,16677.71,470,14,3,0.644,1
46,52314.64,22424.36,691,20,1,0.451,0
22,51815.52,19342.63,670,23,4,0.419,0
40,35616.01,26756.66,579,27,4,0.781,1
48,66020.75,17363.42,525,15,3,0.341,1
27,91932.53,20307.58,739,15,4,0.299,0
64,59445.65,9206.03,666,7,4,0.14,1
28,58209.52,19690.66,673,6,3,0.348,1
55,36255.44,11830.99,594,5,3,0.301,1
34,82948.29,11375.15,578,1,1,0.086,0
37,53497.12,22157.79,429,21,2,0.366,1
56,43420.73,22212.99,629,12,0,0.547,1
60,56273.77,28507.54,779,11,3,0.522,0
24,64439.23,27986.11,570,14,3,0.479,0
22,57784.31,22338.52,513,26,4,0.513,1
26,79123.07,1236.44,689,8,1,0.041,0
62,62679.43,29621.45,706,1,4,0.433,0
24,49321.16,22343.74,597,16,3,0.505,1
49,63023.84,8873.12,619,26,3,0.1,0
38,64992.74,20831.27,674,28,4,0.408,0
46,29072.48,6701.87,636,4,3,0.132,1
64,77988.39,19949.04,740,10,2,0.228,0
54,48981.92,4469.84,850,21,0,0.122,0
30,49493.54,8534.25,496,18,0,0.231,0
56,70027.52,20679.43,761,23,0,0.261,0
34,69943.3,23583.09,659,6,2,0.294,0
51,40983.37,17603.49,775,1,3,0.437,1
35,71058.03,12710.65,715,15,4,0.274,0
28,43791.04,1000.0,656,11,1,0.0,0
34,91391.46,13327.83,718,22,3,0.13,0
43,38436.12,19267.88,615,14,2,0.514,1
60,59789.55,12465.88,580,0,2,0.169,0
41,39359.65,14819.38,723,24,0,0.337,0
36,99453.91,13515.06,574,12,3,0.124,0
38,30243.58,12426.35,708,22,0,0.426,0
44,65487.25,15607.02,653,5,1,0.229,0
46,40301.79,12818.44,440,12,0,0.391,1
45,47917.85,26546.32,598,17,1,0.584,1
61,64070.76,1000.0,680,2,2,0.035,0
49,79491.69,10633.26,613,0,0,0.185,0
35,87467.93,8037.95,421,14,0,0.112,0
21,24261.04,16752.88,769,25,4,0.668,1
45,60355.02,15617.16,665,12,2,0.246,0
27,84189.87,27977.54,690,4,4,0.276,0
29,21293.78,30609.14,607,24,1,1.538,1
44,61287.67,8815.33,698,12,1,0.19,0
21,54958.32,15004.0,815,21,2,0.145,0
64,63290.84,16570.44,584,4,1,0.328,0
28,39553.92,8617.49,800,27,2,0.145,0
44,26287.62,20027.06,686,18,1,0.788,1
31,16737.87,13083.94,572,20,3,0.671,1
37,74527.68,6458.92,849,23,0,0.065,0
28,77080.98,12763.45,685,27,3,0.233,0
55,61053.71,7018.6,711,17,2,0.185,0
55,44317.03,23293.17,626,20,2,0.541,1
53,22539.08,30212.47,578,21,3,1.38,1
25,66266.91,16958.55,665,9,0,0.185,0
62,32984.41,15890.21,792,23,0,0.509,0
59,40774.03,16219.48,622,7,4,0.44,1
61,43268.72,24457.87,648,14,1,0.694,1
48,51049.3,24285.59,781,20,4,0.445,0
27,39819.19,14074.77,623,24,0,0.354,0
29,55669.18,17020.72,696,19,3,0.31,0
28,42563.63,20221.17,729,27,1,0.51,0
32,69027.46,5898.5,632,24,3,0.129,0
54,75621.26,24700.87,678,26,4,0.38,0
53,57170.85,28878.66,709,22,2,0.555,0
43,64252.53,24320.26,614,21,3,0.304,0
44,97357.12,5035.25,723,3,4,0.0,0
57,31547.93,1000.0,601,1,4,0.006,0
55,30330.64,20669.75,589,23,4,0.68,1
64,68899.96,8918.48,513,5,2,0.099,0
